ts,demand_mw
2026-09-19 16:05:00,85110.4
2026-09-19 16:10:00,83587.0
2026-09-19 16:15:00,84478.8
2026-09-19 16:20:00,84240.8
2026-09-19 16:25:00,84261.2
2026-09-19 16:30:00,84016.2
2026-09-19 16:35:00,83923.0
2026-09-19 16:40:00,83377.7
2026-09-19 16:45:00,84155.5
2026-09-19 16:50:00,83884.3
2026-09-19 16:55:00,83370.3
2026-09-19 17:00:00,83593.1
2026-09-19 17:05:00,83051.4
2026-09-19 17:10:00,83192.4
2026-09-19 17:15:00,82866.3
2026-09-19 17:20:00,81523.8
2026-09-19 17:25:00,81476.2
2026-09-19 17:30:00,82073.1
2026-09-19 17:35:00,81997.1
2026-09-19 17:40:00,80691.2
2026-09-19 17:45:00,81308.7
2026-09-19 17:50:00,81180.0
2026-09-19 17:55:00,81602.0
2026-09-19 18:00:00,80822.9
2026-09-19 18:05:00,79600.2
2026-09-19 18:10:00,79617.3
2026-09-19 18:15:00,79596.2
2026-09-19 18:20:00,78864.3
2026-09-19 18:25:00,79860.2
2026-09-19 18:30:00,78568.9
2026-09-19 18:35:00,78656.8
2026-09-19 18:40:00,78396.6
2026-09-19 18:45:00,78640.2
2026-09-19 18:50:00,77573.3
2026-09-19 18:55:00,77780.0
2026-09-19 19:00:00,77059.3
2026-09-19 19:05:00,78003.6
2026-09-19 19:10:00,76983.1
2026-09-19 19:15:00,76086.3
2026-09-19 19:20:00,75647.7
2026-09-19 19:25:00,75552.0
2026-09-19 19:30:00,75945.8
2026-09-19 19:35:00,74883.2
2026-09-19 19:40:00,74971.8
2026-09-19 19:45:00,75454.3
2026-09-19 19:50:00,73970.5
2026-09-19 19:55:00,73795.5
2026-09-19 20:00:00,74339.3
2026-09-19 20:05:00,72974.3
2026-09-19 20:10:00,72780.6
2026-09-19 20:15:00,72530.6
2026-09-19 20:20:00,72635.7
2026-09-19 20:25:00,71586.8
2026-09-19 20:30:00,71352.2
2026-09-19 20:35:00,71871.3
2026-09-19 20:40:00,71384.5
2026-09-19 20:45:00,71768.1
2026-09-19 20:50:00,70734.8
2026-09-19 20:55:00,70972.1
2026-09-19 21:00:00,69733.1
2026-09-19 21:05:00,70274.9
2026-09-19 21:10:00,69645.4
2026-09-19 21:15:00,69082.5
2026-09-19 21:20:00,68070.0
2026-09-19 21:25:00,68129.2
